script,output_file,file_type,tabular,column_descriptions
subgen_raw_extract.py,subgen_raw_extract_synth_per_cell.tsv,TSV,yes,"seed (lineage seed int) | generation (gen index) | is_successful_lineage (1/0 strict flag) | <one column per gene; header = gene_id; value = S(c,g), completed transcripts of that gene in that cell-generation>.  NOTE: this and every other raw-extract file uses the FIXED basename subgen_raw_extract, not plotOutFileName, so consumers can always find them."
subgen_raw_extract.py,subgen_raw_extract_max_mrna_per_cell.tsv,TSV,yes,seed | generation | is_successful_lineage | <one column per gene; header = gene_id; value = max over timesteps of mRNA_cistron_counts>.  Also the substrate for p_mrna_present_def1 in the def5 table: (max_mrna[is_successful] > 0).mean(axis=0).
subgen_raw_extract.py,subgen_raw_extract_max_protein_per_cell.tsv,TSV,yes,seed | generation | is_successful_lineage | <one column per gene; header = gene_id; value = max over timesteps of monomerCounts>
subgen_raw_extract.py,subgen_raw_extract_frac_protein_zero_per_cell.tsv,TSV,yes,"seed | generation | is_successful_lineage | <one column per gene; header = gene_id; value = TIME-WEIGHTED fraction of that generation's cell cycle spent at zero protein copies (each timestep weighted by its own dt, so it is a true fraction of lifetime, not a fraction of timesteps)>.  This is the protein-absence rate consumed by subgen_protein_memory.py.  (Was missing from this inventory.)"
subgen_raw_extract.py,subgen_raw_extract_lineage_success.tsv,TSV,yes,seed | n_gens_ran (generations that completed) | reached_final_gen (bool) | completed_all_gens (bool) | n_cells_at_180 (cells at the 180-min cap) | gens_at_180 (comma-separated gen indices) | max_doubling_min (float) | is_successful (strict bool)
subgen_raw_extract.py,subgen_raw_extract_doubling_times.tsv,TSV,yes,"seed | gen_0 ... gen_{G-1} = doubling time in minutes for each generation (-1 if the generation did not run / could not be read).  NEW: compute_lineage_success already walked every cell's Main/time to build the strict filter, so persisting this is free and saves every consumer that walk.  Same layout as subgen_definition5_lineage_ci_doubling_times.tsv, so the two are interchangeable."
subgen_raw_extract.py,subgen_raw_extract_genes.tsv,TSV,yes,gene_id | cistron_id | monomer_id  (column-order key for the wide per-cell matrices)
subgen_raw_extract.py,subgen_raw_extract_run_metadata.json,JSON,no,"Provenance in the shared sc.write_run_metadata layout: analysis (script, run_time, git hash/branch/dirty, parameters incl. ignore_first_n_gens / max_doubling_min / synth_available); simulation (8 keys from the sim's metadata.json); genes; lineages (n_seeds, n_successful, successful_seeds); cells (n_included, n_skipped, skipped)."
subgen_per_generation_expression.py,<name>_expressed.tsv,TSV,yes,"seed | generation | <one column per gene; header = gene_id; value = 1 if the gene had >=1 completed transcript that generation, else 0>  -- one row per (strict-successful seed, generation).  This is the binary matrix the standalone uniqueness / operon-Jaccard CLIs take as their `binary_matrix` argument."
subgen_per_generation_expression.py,<name>_synth_count.tsv,TSV,yes,"seed | generation | <one column per gene; header = gene_id; value = synth_count S(c,g), completed transcripts that generation>  -- same shape/row order as <name>_expressed.tsv"
subgen_per_generation_expression.py,<name>_metrics.tsv,TSV,yes,gene_name | cistron_id | n_generations (# successful cell-generations) | n_generations_expressed (Sum_c 1[S>0]) | frac_generations_expressed (=n_generations_expressed/n_generations) | n_seeds | n_seeds_ever_expressed (# seeds where the gene fired in >=1 generation)
subgen_per_generation_expression.py,<name>_per_generation_summary.tsv,TSV,yes,"seed | generation | n_genes_expressed (Sum_g 1[S(c,g)>0]) | n_genes_total | frac_genes_expressed"
subgenerational_expression_table_def5.py,<name>.tsv,TSV,yes,"THE canonical per-gene table; all genes. Columns are the UNION of the two tables that previously held this classification, with the key columns under BOTH spellings so either reader works.  gene_name | cistron_name | protein_name (monomer id with the [c]/[m]... suffix trimmed) | monomer_name (untrimmed; subsumes the deleted id_subgen_monomers_def5 output) | def5_CI_category (subgen / possibly_subgen / not_subgen / never_expressed) | def5_CI_mean (mean transcripts/gen across lineages) | ci_lower | ci_upper (95% normal-approx CI) | def5_pooled_mean (cell-weighted mean; DESCRIPTIVE only) | p_any_synth_def4 (fraction of successful cells with >=1 completed transcript) | p_mrna_present_def1 (NEW: fraction of successful cells with >=1 mRNA copy at some timestep -- reproduces the legacy table's p_expressed from the max-mRNA matrix, with a clean denominator and the strict lineage gate) | max_mRNA_count | max_protein_count (max over successful cells) | n_lineages (NEW) | std (NEW) | se (NEW) | gene_id, cistron_id, protein_id, category (NEW aliases matching subgen_definition5_lineage_ci's schema).  Numeric columns are formatted %.6g, this table's existing convention."
subgenerational_expression_table_def5.py,<name>_subgen.tsv,TSV,yes,"Same columns as <name>.tsv, restricted to rows where def5_CI_category == subgen (equivalently category == subgen)."
transcriptFrequency_def5.py,<name>.pdf (+ .png),image (figure),no,"Left: scatter of P(>=1 completed transcript per generation) [Def 4] vs gene rank by def5_CI mean, colored by def5_CI category. Right: log-x histogram of the per-gene def5_CI mean with a dashed reference line at 1 transcript/gen (a reference line, not a classification boundary). No tabular data."
subgen_monomer_dynamics_def5.py,<name>_monomer_dynamics_gen_<seed>.pdf,image (figure),no,"Per-generation monomer-count traces for the top-12 subgen genes (by def5_CI mean), one panel per gene; x normalized so each generation spans unit width. One file per plotted successful seed. NOTE: the _gen_<N> infix is a SEED, not a generation (kept here; the sibling subgen_monomer_dynamics.py has been renamed to _seed<SSSSSS>)."
subgen_monomer_dynamics_def5.py,<name>_mRNA_dynamics_gen_<seed>.pdf,image (figure),no,Same as the monomer figure but mRNA (RNACounts/mRNA_cistron_counts) traces. One file per plotted successful seed.
subgenerationalTranscription_def5.py,<name>_seed<SSSSSS>_5B_top.pdf,image (figure),no,"Scatter of per-gene frequency freq(g)=mean_gen 1[Sum_t synth>0] vs gene rank (by simulated synth prob), colored by the CANONICAL COHORT-WIDE def5_CI category (4 categories from sc.PALETTE), with a companion histogram of freq. The right-hand annotation lists all four category counts. Because the categories are cohort-wide, EVERY plotted lineage reports the same counts -- that identity is the regression test; what varies per lineage is the frequency scatter itself. Post burn-in; one file per plotted strict-successful lineage."
subgenerationalTranscription_def5.py,<name>_seed<SSSSSS>_5B_bottom.pdf,image (figure),no,"Completed-transcript event raster over the first RASTER_N_GENS post-burn-in generations: top = not_subgen genes, bottom = subgen genes (RASTER_CATEGORIES -- the two CONFIDENT calls; a raster of possibly_subgen genes would read as a claim the CI declines to make). Row labels carry the category label and n. x = time (generations). One file per plotted lineage."
subgenerationalTranscription_def5.py,<name>_seed<SSSSSS>_5E.pdf,image (figure),no,"Bar chart: composition of ESSENTIAL genes across the FOUR def5_CI categories, as count_in_category/total_essential. One file per plotted lineage."
subgenerationalTranscription_def5.py,<name>_seed<SSSSSS>_5F.pdf,image (figure),no,Bar chart: composition of poorly-understood/under-characterized genes across the four def5_CI categories.
subgenerationalTranscription_def5.py,<name>_seed<SSSSSS>_5G.pdf,image (figure),no,Bar chart: composition of antibiotic-resistance / toxin-antitoxin genes across the four def5_CI categories.
